,out/not_out,match,teamInnings,battingPos,batsman,runs,balls,M,4s,6s,SR,Wicketsfall,runs_score,RR,overstaken
0,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,1,Sourav Ganguly (c),10,12,,2,0,83.33,3,222,11.10,20
1,not_out,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,2,Brendon McCullum †,158,73,,10,13,216.43,3,222,11.10,20
2,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,3,Ricky Ponting ,20,20,,1,1,100.00,3,222,11.10,20
3,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,4,David Hussey ,12,12,,1,0,100.00,3,222,11.10,20
4,not_out,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,5,Mohammad Hafeez ,5,3,,1,0,166.66,3,222,11.10,20
5,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Rahul Dravid (c),2,3,,0,0,66.66,11,82,5.40,15.1
6,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Wasim Jaffer ,6,16,,0,0,37.50,11,82,5.40,15.1
7,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Virat Kohli ,1,5,,0,0,20.00,11,82,5.40,15.1
8,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Jacques Kallis ,8,7,,0,1,114.28,11,82,5.40,15.1
9,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Cameron White ,6,10,,0,0,60.00,11,82,5.40,15.1
10,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Mark Boucher †,7,9,,1,0,77.77,11,82,5.40,15.1
11,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,7,Balachandra Akhil ,0,2,,0,0,0.00,11,82,5.40,15.1
12,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,8,Ashley Noffke ,9,10,,1,0,90.00,11,82,5.40,15.1
13,not_out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,9,Praveen Kumar ,18,15,,1,2,120.00,11,82,5.40,15.1
14,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,10,Zaheer Khan ,3,8,,0,0,37.50,11,82,5.40,15.1
15,out,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,11,Sunil Joshi ,3,6,,0,0,50.00,11,82,5.40,15.1
16,out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,1,Parthiv Patel ,15,10,,3,0,150.00,5,240,12.00,20
17,out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,2,Matthew Hayden ,25,17,,4,1,147.05,5,240,12.00,20
18,not_out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,3,Michael Hussey ,116,54,,8,9,214.81,5,240,12.00,20
19,out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,4,MS Dhoni (c)†,2,3,,0,0,66.66,5,240,12.00,20
20,out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,5,Suresh Raina ,32,13,,2,3,246.15,5,240,12.00,20
21,out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,6,Jacob Oram ,13,10,,0,1,130.00,5,240,12.00,20
22,not_out,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,7,S Badrinath ,31,14,,3,2,221.42,5,240,12.00,20
23,out,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,1,Karan Goel ,24,19,,2,1,126.31,4,207,10.35,20
24,out,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,2,James Hopes ,71,33,,10,3,215.15,4,207,10.35,20
25,out,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,3,Kumar Sangakkara †,54,33,,5,2,163.63,4,207,10.35,20
26,out,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,4,Yuvraj Singh (c),23,13,,1,2,176.92,4,207,10.35,20
27,not_out,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,5,Simon Katich ,21,17,,0,1,123.52,4,207,10.35,20
28,not_out,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,6,Irfan Pathan ,3,5,,0,0,60.00,4,207,10.35,20
29,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,1,Taruwar Kohli ,7,12,,0,1,58.33,8,129,6.45,20
30,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,2,Yusuf Pathan ,10,5,,2,0,200.00,8,129,6.45,20
31,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,3,Shane Watson ,21,15,,3,0,140.00,8,129,6.45,20
32,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,4,Mohammad Kaif ,9,19,,0,0,47.36,8,129,6.45,20
33,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,5,Darren Lehmann ,1,2,,0,0,50.00,8,129,6.45,20
34,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,6,Ravindra Jadeja ,29,23,,2,2,126.08,8,129,6.45,20
35,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,7,Mahesh Rawat †,2,4,,0,0,50.00,8,129,6.45,20
36,not_out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,8,Dinesh Salunkhe ,26,20,,4,0,130.00,8,129,6.45,20
37,out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,9,Shane Warne (c),14,13,,2,0,107.69,8,129,6.45,20
38,not_out,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,10,Siddharth Trivedi ,3,7,,0,0,42.85,8,129,6.45,20
39,not_out,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,1,Gautam Gambhir ,58,46,,7,1,126.08,1,132,8.70,15.1
40,out,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,2,Virender Sehwag (c),12,4,,3,0,300.00,1,132,8.70,15.1
41,not_out,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,3,Shikhar Dhawan ,52,41,,8,0,126.82,1,132,8.70,15.1
42,out,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,1,Adam Gilchrist †,23,22,,1,2,104.54,11,110,5.89,18.4
43,out,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,2,Venugopal Rao ,14,14,,1,0,100.00,11,110,5.89,18.4
44,out,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,3,VVS Laxman (c),0,6,,0,0,0.00,11,110,5.89,18.4
45,out,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,4,Andrew Symonds ,32,39,,2,2,82.05,11,110,5.89,18.4
