,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Praveen Kumar,4,0,38,0,9.50,13,3,3,1,0
1,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Zaheer Khan,4,0,38,1,9.50,8,3,2,0,0
2,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Ashley Noffke,4,0,40,1,10.00,7,2,2,1,0
3,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Jacques Kallis,4,0,48,1,12.00,9,5,3,1,0
4,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Sunil Joshi,3,0,26,0,8.66,4,0,2,0,0
5,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Cameron White,1,0,24,0,24.00,0,2,2,1,0
6,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,1,Ashok Dinda,3,0,9,2,3.00,11,0,0,2,0
7,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,2,Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0
8,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,3,Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0
9,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,4,Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0
10,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,5,Laxmi Shukla,1.1,0,12,1,10.28,3,0,1,2,0
11,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,1,Brett Lee,4,0,35,1,8.75,12,5,1,0,1
12,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,2,Sreesanth,3,0,35,0,11.66,5,5,1,1,0
13,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,3,James Hopes,4,0,53,1,13.25,8,2,6,0,0
14,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,4,Irfan Pathan,4,0,47,2,11.75,6,4,3,0,0
15,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,5,Karan Goel,2,0,25,0,12.50,2,1,2,0,0
